COUNTRY,Country,EMPSTAT,Employment status,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,TE,Total employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1779.7,,
AUS,Australia,TE,Total employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1746.4,,
AUS,Australia,TE,Total employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1741.9,,
AUS,Australia,TE,Total employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1734.9,,
AUS,Australia,TE,Total employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1733.64,,
AUS,Australia,TE,Total employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1732,,
AUS,Australia,TE,Total employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1721.7,,
AUS,Australia,TE,Total employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1722.6,,
AUS,Australia,TE,Total employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1720.8,,
AUS,Australia,TE,Total employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1692.1,,
AUS,Australia,TE,Total employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1699.7,,
AUS,Australia,TE,Total employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1699.2,,
AUS,Australia,TE,Total employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1691.9,,
AUS,Australia,TE,Total employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1689.599976,,
AUS,Australia,TE,Total employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1682.699951,,
AUS,Australia,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1682.900024,,
AUS,Australia,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1672.199951,,
AUS,Australia,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1675.900024,,
AUT,Austria,TE,Total employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1798.4,,
AUT,Austria,TE,Total employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1785.4,,
AUT,Austria,TE,Total employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1782.8,,
AUT,Austria,TE,Total employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1774,,
AUT,Austria,TE,Total employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1776.5,,
AUT,Austria,TE,Total employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1752.5,,
AUT,Austria,TE,Total employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1735.7,,
AUT,Austria,TE,Total employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1724.8,,
AUT,Austria,TE,Total employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1717.2,,
AUT,Austria,TE,Total employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1673.1,,
AUT,Austria,TE,Total employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1665.8,,
AUT,Austria,TE,Total employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1671.7,,
AUT,Austria,TE,Total employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1647.9,,
AUT,Austria,TE,Total employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1632.1,,
AUT,Austria,TE,Total employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1621.6,,
AUT,Austria,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1598.9,,
AUT,Austria,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1609.4,,
AUT,Austria,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1613.1,,
BEL,Belgium,TE,Total employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1595,,
